subject,target,stimulus,frequency,power,accuracy,group
32,130,130,129.4605809128631,-2.482253595847851,0.8484948802105666,low
32,200,130,129.4605809128631,1.5840685877833862,0.8484948802105666,low
32,280,130,129.4605809128631,-1.6212312619042375,0.8484948802105666,low
33,130,130,129.4605809128631,12.706919018344376,0.891142239205964,low
33,200,130,129.4605809128631,13.196961110208278,0.891142239205964,low
33,280,130,129.4605809128631,14.391207084433212,0.891142239205964,low
34,130,130,129.4605809128631,5.7748015166411895,0.8317436394397177,low
34,200,130,129.4605809128631,-1.090793083416972,0.8317436394397177,low
34,280,130,129.4605809128631,-0.3408030926105937,0.8317436394397177,low
35,130,130,129.4605809128631,5.0134470790950285,0.9801101476591672,high
35,200,130,129.4605809128631,5.8559263625379785,0.9801101476591672,high
35,280,130,129.4605809128631,2.5821013270507502,0.9801101476591672,high
36,130,130,129.4605809128631,2.1372057015888237,0.977261144810164,high
36,200,130,129.4605809128631,2.5403376491153296,0.977261144810164,high
36,280,130,129.4605809128631,3.7948256240351808,0.977261144810164,high
37,130,130,129.4605809128631,4.896433037139251,0.8909957299418083,low
37,200,130,129.4605809128631,6.132334135058128,0.8909957299418083,low
37,280,130,129.4605809128631,7.707468271624255,0.8909957299418083,low
38,130,130,129.4605809128631,1.520096557887214,0.9742168896825758,high
38,200,130,129.4605809128631,-1.597160925182597,0.9742168896825758,high
38,280,130,129.4605809128631,-0.7983244491946841,0.9742168896825758,high
39,130,130,129.4605809128631,1.383076607265636,0.9824880058213392,high
39,200,130,129.4605809128631,2.374923420717277,0.9824880058213392,high
39,280,130,129.4605809128631,-0.5724773740011274,0.9824880058213392,high
40,130,130,129.4605809128631,-1.4749481133738838,0.8815612927377633,low
40,200,130,129.4605809128631,2.444512455359187,0.8815612927377633,low
40,280,130,129.4605809128631,0.4245269335776329,0.8815612927377633,low
41,130,130,129.4605809128631,0.3092002653629771,0.98198657370226,high
41,200,130,129.4605809128631,-5.919968914552424,0.98198657370226,high
41,280,130,129.4605809128631,1.4146829673415935,0.98198657370226,high
42,130,130,129.4605809128631,1.6520875720446275,0.865416659411757,low
42,200,130,129.4605809128631,7.015159883613559,0.865416659411757,low
42,280,130,129.4605809128631,0.5261813898554093,0.865416659411757,low
43,130,130,129.4605809128631,0.5701619227203975,0.9839132934966268,high
43,200,130,129.4605809128631,-0.0001321869864517,0.9839132934966268,high
43,280,130,129.4605809128631,-0.0029683308593999,0.9839132934966268,high
44,130,130,129.4605809128631,5.777343269968686,0.9027533389478692,low
44,200,130,129.4605809128631,4.081240536736631,0.9027533389478692,low
44,280,130,129.4605809128631,11.141378627227285,0.9027533389478692,low
45,130,130,129.4605809128631,8.569240827012456,0.9794028348195016,high
45,200,130,129.4605809128631,2.632354581929629,0.9794028348195016,high
45,280,130,129.4605809128631,-3.2297125326146343,0.9794028348195016,high
3,130,200,199.1701244813278,13.404859716242417,0.8042331161939004,low
3,200,200,199.1701244813278,14.143326074055455,0.8042331161939004,low
3,280,200,199.1701244813278,11.441815236813198,0.8042331161939004,low
4,130,200,199.1701244813278,6.276110009211028,0.9614234764094708,high
4,200,200,199.1701244813278,3.1170150693639584,0.9614234764094708,high
4,280,200,199.1701244813278,4.632294258713529,0.9614234764094708,high
5,130,200,199.1701244813278,11.771493118503288,0.9125820922570148,low
5,200,200,199.1701244813278,9.665217537503388,0.9125820922570148,low
5,280,200,199.1701244813278,11.05102821912883,0.9125820922570148,low
6,130,200,199.1701244813278,0.680395612569405,0.9520805891639222,high
6,200,200,199.1701244813278,3.5401098814719605,0.9520805891639222,high
6,280,200,199.1701244813278,2.8234595372937927,0.9520805891639222,high
7,130,200,199.1701244813278,4.568159254316319,0.9157180383160772,low
7,200,200,199.1701244813278,4.613597429912866,0.9157180383160772,low
7,280,200,199.1701244813278,0.9924054722821616,0.9157180383160772,low
8,130,200,199.1701244813278,2.028933242152171,0.9859718984718984,high
8,200,200,199.1701244813278,1.243045345137135,0.9859718984718984,high
8,280,200,199.1701244813278,3.2379270794727475,0.9859718984718984,high
9,130,200,199.1701244813278,3.578925382580924,0.9233681568975683,high
9,200,200,199.1701244813278,4.741496810324371,0.9233681568975683,high
9,280,200,199.1701244813278,8.255767544137425,0.9233681568975683,high
10,130,200,199.1701244813278,3.0927746316985223,0.9678164428164427,high
10,200,200,199.1701244813278,3.361197066125026,0.9678164428164427,high
10,280,200,199.1701244813278,3.6656687385586006,0.9678164428164427,high
11,130,200,199.1701244813278,5.134054208288078,0.9563091383924714,high
11,200,200,199.1701244813278,7.055568691514504,0.9563091383924714,high
11,280,200,199.1701244813278,3.544095617653476,0.9563091383924714,high
12,130,200,199.1701244813278,-2.3545736943670748,0.9752415023248354,high
12,200,200,199.1701244813278,-2.2710172964232416,0.9752415023248354,high
12,280,200,199.1701244813278,0.291243123341901,0.9752415023248354,high
13,130,200,199.1701244813278,3.441464999612689,0.8184371984439709,low
13,200,200,199.1701244813278,0.1295559242256992,0.8184371984439709,low
13,280,200,199.1701244813278,-1.4741522681332215,0.8184371984439709,low
14,130,200,199.1701244813278,-0.7560494863131518,0.8897738283165696,low
14,200,200,199.1701244813278,2.605796802497864,0.8897738283165696,low
14,280,200,199.1701244813278,0.4119616755030825,0.8897738283165696,low
15,130,200,199.1701244813278,-0.6933769275566727,0.9481134297800962,high
15,200,200,199.1701244813278,-3.6861796059970464,0.9481134297800962,high
15,280,200,199.1701244813278,2.932914712324148,0.9481134297800962,high
16,130,200,199.1701244813278,0.1138454265692385,0.907325044236809,low
16,200,200,199.1701244813278,-3.986028504316128,0.907325044236809,low
16,280,200,199.1701244813278,3.744699621077879,0.907325044236809,low
18,130,200,199.1701244813278,1.4510958641287064,0.778067758470572,low
18,200,200,199.1701244813278,2.5290327465169726,0.778067758470572,low
18,280,200,199.1701244813278,4.301332976179752,0.778067758470572,low
19,130,200,199.1701244813278,3.900733568530754,0.9595211297417175,high
19,200,200,199.1701244813278,1.2628452070354093,0.9595211297417175,high
19,280,200,199.1701244813278,5.780005360595114,0.9595211297417175,high
20,130,200,199.1701244813278,1.7352286338642795,0.93849890396459,high
20,200,200,199.1701244813278,-0.8178034152397899,0.93849890396459,high
20,280,200,199.1701244813278,4.079406553143217,0.93849890396459,high
21,130,200,199.1701244813278,7.437002448618072,0.903758227409113,low
21,200,200,199.1701244813278,5.50805189015446,0.903758227409113,low
21,280,200,199.1701244813278,12.535539057565106,0.903758227409113,low
22,130,200,199.1701244813278,6.979578928134236,0.9650264459578184,high
22,200,200,199.1701244813278,2.945894930508936,0.9650264459578184,high
22,280,200,199.1701244813278,7.11756454360363,0.9650264459578184,high
23,130,200,199.1701244813278,10.774581023505869,0.8232399494186772,low
23,200,200,199.1701244813278,9.799909636790735,0.8232399494186772,low
23,280,200,199.1701244813278,7.737322198391787,0.8232399494186772,low
24,130,200,199.1701244813278,5.50322935801626,0.868514173305195,low
24,200,200,199.1701244813278,-2.4625391229780167,0.868514173305195,low
24,280,200,199.1701244813278,5.143100118400092,0.868514173305195,low
25,130,200,199.1701244813278,2.1068824487537823,0.934331025728084,high
25,200,200,199.1701244813278,1.315896728912871,0.934331025728084,high
25,280,200,199.1701244813278,3.912260371953431,0.934331025728084,high
26,130,200,199.1701244813278,2.349331982898995,0.9948753021669688,high
26,200,200,199.1701244813278,1.975989368677065,0.9948753021669688,high
26,280,200,199.1701244813278,1.4376830748907945,0.9948753021669688,high
27,130,200,199.1701244813278,1.2539334622745275,0.7645413139253437,low
27,200,200,199.1701244813278,3.069302996090609,0.7645413139253437,low
27,280,200,199.1701244813278,8.416863361595357,0.7645413139253437,low
28,130,200,199.1701244813278,0.7077720552955149,0.834836883795217,low
28,200,200,199.1701244813278,2.515735851966117,0.834836883795217,low
28,280,200,199.1701244813278,0.2657216952672582,0.834836883795217,low
29,130,200,199.1701244813278,5.161540758733469,0.940671543893938,high
29,200,200,199.1701244813278,3.0075834890071262,0.940671543893938,high
29,280,200,199.1701244813278,4.510165081832707,0.940671543893938,high
30,130,200,199.1701244813278,3.530521166771394,0.975931965876496,high
30,200,200,199.1701244813278,5.3352441850347,0.975931965876496,high
30,280,200,199.1701244813278,6.511512720121195,0.975931965876496,high
31,130,200,199.1701244813278,-1.4977268029283066,0.9293957757928348,high
31,200,200,199.1701244813278,-1.4937003870085963,0.9293957757928348,high
31,280,200,199.1701244813278,1.8464027023835816,0.9293957757928348,high
32,130,200,199.1701244813278,-0.7812778250029022,0.8484948802105666,low
32,200,200,199.1701244813278,-1.2527449762858174,0.8484948802105666,low
32,280,200,199.1701244813278,-0.1284681714361812,0.8484948802105666,low
33,130,200,199.1701244813278,15.11346690009226,0.891142239205964,low
33,200,200,199.1701244813278,14.938116773438852,0.891142239205964,low
33,280,200,199.1701244813278,15.50697102350878,0.891142239205964,low
34,130,200,199.1701244813278,14.189357004545698,0.8317436394397177,low
34,200,200,199.1701244813278,12.517194776355144,0.8317436394397177,low
34,280,200,199.1701244813278,12.400280760776294,0.8317436394397177,low
35,130,200,199.1701244813278,7.544467919373651,0.9801101476591672,high
35,200,200,199.1701244813278,5.136883797477489,0.9801101476591672,high
35,280,200,199.1701244813278,4.625741461174563,0.9801101476591672,high
36,130,200,199.1701244813278,-1.4723314446734082,0.977261144810164,high
36,200,200,199.1701244813278,1.5188942984843443,0.977261144810164,high
36,280,200,199.1701244813278,0.7634913797534828,0.977261144810164,high
37,130,200,199.1701244813278,9.848901304983716,0.8909957299418083,low
37,200,200,199.1701244813278,13.567556233963495,0.8909957299418083,low
37,280,200,199.1701244813278,8.936037982845498,0.8909957299418083,low
38,130,200,199.1701244813278,-1.9540707077186923,0.9742168896825758,high
38,200,200,199.1701244813278,-0.1446219274027296,0.9742168896825758,high
38,280,200,199.1701244813278,-0.4382534286732201,0.9742168896825758,high
39,130,200,199.1701244813278,4.55808995790653,0.9824880058213392,high
39,200,200,199.1701244813278,6.709856179503361,0.9824880058213392,high
39,280,200,199.1701244813278,5.408368451049512,0.9824880058213392,high
40,130,200,199.1701244813278,-1.6346070023219723,0.8815612927377633,low
40,200,200,199.1701244813278,1.5226189650765098,0.8815612927377633,low
40,280,200,199.1701244813278,3.10787175764312,0.8815612927377633,low
41,130,200,199.1701244813278,1.470506781779909,0.98198657370226,high
41,200,200,199.1701244813278,3.543974140974392,0.98198657370226,high
41,280,200,199.1701244813278,2.0084029145652305,0.98198657370226,high
42,130,200,199.1701244813278,1.1226412894739752,0.865416659411757,low
42,200,200,199.1701244813278,5.940124755219765,0.865416659411757,low
42,280,200,199.1701244813278,3.9936883088279225,0.865416659411757,low
43,130,200,199.1701244813278,-3.5935682537693783,0.9839132934966268,high
43,200,200,199.1701244813278,0.0035006459340199,0.9839132934966268,high
43,280,200,199.1701244813278,-0.0013327668322638,0.9839132934966268,high
44,130,200,199.1701244813278,4.64530798286903,0.9027533389478692,low
44,200,200,199.1701244813278,11.166494625870593,0.9027533389478692,low
44,280,200,199.1701244813278,11.069712455128569,0.9027533389478692,low
45,130,200,199.1701244813278,9.195325850928825,0.9794028348195016,high
45,200,200,199.1701244813278,9.549107770745596,0.9794028348195016,high
45,280,200,199.1701244813278,14.232223667566092,0.9794028348195016,high
3,130,280,278.8381742738589,9.459043404032242,0.8042331161939004,low
3,200,280,278.8381742738589,5.922179857274077,0.8042331161939004,low
3,280,280,278.8381742738589,7.561676239748172,0.8042331161939004,low
4,130,280,278.8381742738589,11.222913687312166,0.9614234764094708,high
4,200,280,278.8381742738589,5.073410894952634,0.9614234764094708,high
4,280,280,278.8381742738589,10.019805637731364,0.9614234764094708,high
5,130,280,278.8381742738589,5.090680981998938,0.9125820922570148,low
5,200,280,278.8381742738589,5.791903322012764,0.9125820922570148,low
5,280,280,278.8381742738589,8.511196793122638,0.9125820922570148,low
6,130,280,278.8381742738589,0.414187890620994,0.9520805891639222,high
6,200,280,278.8381742738589,1.678503692867961,0.9520805891639222,high
6,280,280,278.8381742738589,1.7772325188769444,0.9520805891639222,high
7,130,280,278.8381742738589,2.7006405103051363,0.9157180383160772,low
7,200,280,278.8381742738589,3.8863546798148487,0.9157180383160772,low
7,280,280,278.8381742738589,2.696810253909433,0.9157180383160772,low
8,130,280,278.8381742738589,2.356116935689625,0.9859718984718984,high
8,200,280,278.8381742738589,4.796441126508566,0.9859718984718984,high
8,280,280,278.8381742738589,-0.0254222042662735,0.9859718984718984,high
9,130,280,278.8381742738589,7.427816245393055,0.9233681568975683,high
9,200,280,278.8381742738589,9.04759855737524,0.9233681568975683,high
9,280,280,278.8381742738589,9.881832512152483,0.9233681568975683,high
10,130,280,278.8381742738589,9.32707921443412,0.9678164428164427,high
10,200,280,278.8381742738589,5.026254994561271,0.9678164428164427,high
10,280,280,278.8381742738589,6.425190830370831,0.9678164428164427,high
11,130,280,278.8381742738589,-2.972635143630286,0.9563091383924714,high
