sub,target,stimulus,frequency,power,accuracy,group,plv
18,280,130,129.4605809128631,4.074583880496785,0.778067758470572,low,0.09980195416821656
19,130,130,129.4605809128631,-0.1914949510414962,0.9595211297417175,high,0.07834376956926914
19,200,130,129.4605809128631,3.1747156056473096,0.9595211297417175,high,0.059666063804339364
19,280,130,129.4605809128631,-1.6851579316757128,0.9595211297417175,high,0.05076871578877943
20,130,130,129.4605809128631,-2.999662229971901,0.93849890396459,high,0.06527620943631826
20,200,130,129.4605809128631,1.197895573648745,0.93849890396459,high,0.08427660651212616
20,280,130,129.4605809128631,1.6292175619849854,0.93849890396459,high,0.04639899782955658
21,130,130,129.4605809128631,5.295524505640511,0.903758227409113,low,0.04367336910759197
21,200,130,129.4605809128631,8.310120046273138,0.903758227409113,low,0.056464256633356705
21,280,130,129.4605809128631,8.944075812410768,0.903758227409113,low,0.07652896586300828
22,130,130,129.4605809128631,2.462392270237394,0.9650264459578184,high,0.05164672340044605
22,200,130,129.4605809128631,0.3410738427849191,0.9650264459578184,high,0.046704256745503714
22,280,130,129.4605809128631,2.059793130415659,0.9650264459578184,high,0.0726533759496475
23,130,130,129.4605809128631,6.966610869853357,0.8232399494186772,low,0.05197819271569149
23,200,130,129.4605809128631,8.336275685377913,0.8232399494186772,low,0.051403647609781174
23,280,130,129.4605809128631,9.251013078195836,0.8232399494186772,low,0.05802581588735431
24,130,130,129.4605809128631,-3.271387461767709,0.868514173305195,low,0.05685006794853707
24,200,130,129.4605809128631,1.8036914673137083,0.868514173305195,low,0.05077409889771496
24,280,130,129.4605809128631,0.6227830966519886,0.868514173305195,low,0.053723029157683275
25,130,130,129.4605809128631,1.5822710198767356,0.934331025728084,high,0.05156791108825038
25,200,130,129.4605809128631,0.3684888186795326,0.934331025728084,high,0.07151496911193254
25,280,130,129.4605809128631,0.4379230844018424,0.934331025728084,high,0.08749151399627923
26,130,130,129.4605809128631,2.9337088028814264,0.9948753021669688,high,0.0509881458257412
26,200,130,129.4605809128631,-3.231448654463727,0.9948753021669688,high,0.05382482298418041
26,280,130,129.4605809128631,3.739363714132622,0.9948753021669688,high,0.07906633828622495
27,130,130,129.4605809128631,-0.4723461734057527,0.7645413139253437,low,0.05413715510501122
27,200,130,129.4605809128631,4.3036558429198815,0.7645413139253437,low,0.06781073799275808
27,280,130,129.4605809128631,1.232736415542634,0.7645413139253437,low,0.05091508444699104
28,130,130,129.4605809128631,-2.285150646451495,0.834836883795217,low,0.05245269181676024
28,200,130,129.4605809128631,-1.6961142125811008,0.834836883795217,low,0.054927538701544674
28,280,130,129.4605809128631,-1.8687601721804747,0.834836883795217,low,0.052220768969793926
29,130,130,129.4605809128631,0.4696858062297659,0.940671543893938,high,0.04564906103424616
29,200,130,129.4605809128631,-1.6685683563865206,0.940671543893938,high,0.07850614306233586
29,280,130,129.4605809128631,-1.0840546697681352,0.940671543893938,high,0.05714601668725694
30,130,130,129.4605809128631,1.3323450491787137,0.975931965876496,high,0.1018522567854498
30,200,130,129.4605809128631,2.8731998226589823,0.975931965876496,high,0.07359800442219326
30,280,130,129.4605809128631,1.6175824172674464,0.975931965876496,high,0.047904250230345766
31,130,130,129.4605809128631,-0.4044823725810295,0.9293957757928348,high,0.07957576259594257
31,200,130,129.4605809128631,1.7922275681477418,0.9293957757928348,high,0.047450838491902694
31,280,130,129.4605809128631,-2.0729262370138137,0.9293957757928348,high,0.059124851016731414
32,130,130,129.4605809128631,-2.482253595847851,0.8484948802105666,low,0.11247254610235546
32,200,130,129.4605809128631,1.5840685877833862,0.8484948802105666,low,0.06309410838446947
32,280,130,129.4605809128631,-1.6212312619042375,0.8484948802105666,low,0.08376873059047815
